Sort;Sanskrit;Sanskrit Other Form;Transliteration;Translation Other Form;English;Part of Speech;PoS Precise;Source;
1;भरति;;bharati;;he carries;v.;;CIS_Lesson_3;
2;बोधति;;bodhati;;"he wakes up; he understands";v.;;CIS_Lesson_3;
3;स्मरति;;smarati;;he remembers;v.;;CIS_Lesson_3;
4;लिखति;;likhati;;he writes;v.;;CIS_Lesson_3;
5;गच्छति;;gacchati;;he goes;v.;;CIS_Lesson_3;
6;इच्छति;;icchati;;he wants;v.;;CIS_Lesson_3;
7;विशति;;viśati;;he enters;v.;;CIS_Lesson_3;
8;करोति;;karoti;;he does;v.;;CIS_Lesson_3;
9;हरति;;harati;;he takes;v.;;CIS_Lesson_3;
10;च;;ca;;and (postposed);indc.;;CIS_Lesson_3;
11;वा;;vā;;or (postposed);indc.;;CIS_Lesson_3;
12;तु;;tu;;but (postposed);indc.;;CIS_Lesson_3;
13;न;;na;;not;indc.;;CIS_Lesson_3;
14;अत्र;;atra;;here;indc.;;CIS_Lesson_3;
15;तत्र;;tatra;;there;indc.;;CIS_Lesson_3;
16;पुनर्;;punar;;again;indc.;;CIS_Lesson_3;
17;किम्;;kim;;"what? why?; also used at beginning of sentence to indicate a yes/no question";;;CIS_Lesson_3;
18;अपि;;api;;"at the beginning of sentence: marks a sentence as a yes/no question; even, also (postposed)";indc.;;CIS_Lesson_3;
19;√भृ;भरति;bhṛ;bharati;to bear, carry;v.;I;CIS_Lesson_4;
20;√स्मृ;स्मरति;smṛ;smarati;to remember;v.;I;CIS_Lesson_4;
21;√हृ;हरति;hṛ;harati;to take;v.;I;CIS_Lesson_4;
22;√बुध्;बोधति;budh;bodhati;"to wake up; to understand";v.;I;CIS_Lesson_4;
23;√स्निह्;स्निह्यति;snih;snihyati;to be attached to, feel affection for, love (+ <i>loc.</i>);v.;IV;CIS_Lesson_4;
24;√दृश्;पश्यति;dṛś;paśyati;to see;v.;IV irr.;CIS_Lesson_4;
25;√हृष्;हृष्यति;hṛṣ;hṛṣyati;to be excited, happy;v.;IV;CIS_Lesson_4;
26;√विद्;विन्दति;vid;vindati;to find;v.;IV;CIS_Lesson_4;
27;√मुच्;मुञ्चति;muc;muñcati;to release, free;v.;VI;CIS_Lesson_4;
28;√लुप्;लुम्पति;lup;lumpati;to rob;v.;VI;CIS_Lesson_4;
29;√क्षिप्;क्षिपति;kṣip;kṣipati;to throw;v.;VI;CIS_Lesson_4;
30;√लिख्;लिखति;likh;likhati;to write;v.;VI;CIS_Lesson_4;
31;√विश्;विशति;viś;viśati;to enter;v.;VI;CIS_Lesson_4;
32;नगरम्;;nagaram;;city, town;n.n.;a-stem;CIS_Lesson_5;
33;पुरम्;;puram;;city, town;n.n.;a-stem;CIS_Lesson_5;
34;ग्रामः;;grāmaḥ;;village;n.m.;a-stem;CIS_Lesson_5;
35;गृहम्;;gṛham;;house;n.n./m.;a-stem;CIS_Lesson_5;
36;वनम्;;vanam;;forest;n.n.;a-stem;CIS_Lesson_5;
37;वृक्षः;;vṛkṣaḥ;;tree;n.m.;a-stem;CIS_Lesson_5;
38;क्षेत्रम्;;kṣetram;;field;n.n.;a-stem;CIS_Lesson_5;
39;अश्वः;;aśvaḥ;;horse;n.m.;a-stem;CIS_Lesson_5;
40;सिंहः;;siṃhaḥ;;lion;n.m.;a-stem;CIS_Lesson_5;
41;व्याघ्रः;;vyāghraḥ;;tiger;n.m.;a-stem;CIS_Lesson_5;
42;वेदः;;vedaḥ;;knowledge;n.m.;a-stem;CIS_Lesson_5;
43;धर्मः;;dharmaḥ;;(religious) duty, law;n.m.;a-stem;CIS_Lesson_5;
44;वचनम्;;vacanam;;word, speech;n.n.;a-stem;CIS_Lesson_5;
45;देवः;;devaḥ;;"god; lord";n.m.;a-stem;CIS_Lesson_5;
46;नरः;;naraḥ;;man;n.m.;a-stem;CIS_Lesson_5;
47;क्षत्रियः;;kṣatriyaḥ;;warrior;n.m.;a-stem;CIS_Lesson_5;
48;मित्रम्;;mitram;;friend;n.n.;a-stem;CIS_Lesson_5;
49;बालः;;bālah.;;child, boy;n.m.;a-stem;CIS_Lesson_5;
50;सह;;saha;;with (postposed, + <i>instr.</i>);indc.;;CIS_Lesson_5;
51;विना;;vinā;;without (postposed, + <i>instr.</i>, <i>abl.</i> or <i>acc.</i>);indc.;;CIS_Lesson_5;
52;प्रति;;prati;;"towards; against (postposed, + <i>acc.</i>)";indc.;;CIS_Lesson_5;
53;नाम;;nāma;;"called…; supposedly, in name";indc.;;CIS_Lesson_5;
54;सदा;;sadā;;always;indc.;;CIS_Lesson_5;
55;एव;;eva;;"alone, only, just (postposed; emphasises what precedes); indeed";indc.;;CIS_Lesson_5;
56;एवम्;;evam;;thus, so;indc.;;CIS_Lesson_5;
57;इह;;iha;;here;indc.;;CIS_Lesson_5;
58;इव;;iva;;as, like;indc.;;CIS_Lesson_5;
59;पुरुष-;;puruṣa-;;"man; servant";n.m.;a-stem;CIS_Lesson_6;
60;ईश्वर-;;īśvara-;;master, lord;n.m.;a-stem;CIS_Lesson_6;
61;नृप-;;nṛpa-;;king, leader;n.m.;a-stem;CIS_Lesson_6;
62;जन-;;jana-;;"person;<i> pl.</i> people";n.m.;a-stem;CIS_Lesson_6;
63;दूत-;;dūta-;;messenger;n.m.;a-stem;CIS_Lesson_6;
64;पुत्र-;;putra-;;son;n.m.;a-stem;CIS_Lesson_6;
65;श्लोक-;;śloka-;;"sound; fame; verse";n.m.;a-stem;CIS_Lesson_6;
66;गुण-;;guṇa-;;(good) quality, virtue;n.m.;a-stem;CIS_Lesson_6;
67;युद्ध-;;yuddha-;;fight;n.n.;a-stem;CIS_Lesson_6;
68;ज्ञान-;;jñāna-;;knowledge, wisdom;n.n.;a-stem;CIS_Lesson_6;
69;फल-;;phala-;;"fruit; reward";n.n.;a-stem;CIS_Lesson_6;
70;भूत-;;bhūta-;;living being, creature;n.n.;a-stem;CIS_Lesson_6;
71; पाप-;;pāpa-;;evil, bad;adj.;a-stem;CIS_Lesson_6;
72;प्रिय-;;priya-;;"dear; one's own";adj.;a-stem;CIS_Lesson_6;
73;दुःख-;;duḥkha-;;<i>adj.</i> unhappy<br><i>n.n.</i> sorrow, misery;;a-stem;CIS_Lesson_6;
74;सुख-;;sukha-;;<i>adj.</i> happy<br><i>n.n.</i> pleasure, happiness;;a-stem;CIS_Lesson_6;
75;शूर-;;śūra-;;<i>adj.</i> bold, mighty<br><i>n.m.</i> hero;;a-stem;CIS_Lesson_6;
76;सर्व-;;sarva-;;each, all;indc.;;CIS_Lesson_6;
77;हि;;hi;;"indeed, surely (emphatic particle; sometimes best lest untranslated)";indc.;;CIS_Lesson_6;
78;इति;;iti;;marks the end of a clause, quotation or thought;indc.;;CIS_Lesson_6;
79;इह;;iha;;here, in this world;indc.;;CIS_Lesson_6_Readings;
80;खलु;;khalu;;certainly, indeed;indc.;;CIS_Lesson_6_Readings;
81;जरायु-ज-;;jārayu-ja-;;born (<i>-ja-</i>) from a womb;adj.;;CIS_Lesson_6_Readings;
82;त्रस-;;trasa-;;moving;adj.;;CIS_Lesson_6_Readings;
83;त्रि-विध-;;tri-vidha-;;threefold, of three kinds;adj.;;CIS_Lesson_6_Readings;
84;द्वि-विध-;;dvi-vidha-;;twofold, of two kinds;adj.;;CIS_Lesson_6_Readings;
85;प्रवर-;;pravara-;;best;adj.;;CIS_Lesson_6_Readings;
86;महा-राज-;;mahā-rāja-;;great king;n.m.;;CIS_Lesson_6_Readings;
87;मानव-;;mānava-;;man, human;n.m.;;CIS_Lesson_6_Readings;
88;स्थावर-;;sthāvara-;;standing, stationary;adj.;;CIS_Lesson_6_Readings;
89;श्रेष्ठ-;;śreṣṭha-;;best;adj.;;CIS_Lesson_6_Readings;
90;अन्न-;;anna-;;food;n.n.;;CIS_Lesson_6_Readings;
91;अ-भय-;;a-bhaya-;;safety (lit. non-fear);n.n.;;CIS_Lesson_6_Readings;
92;गो-;;go-;;cow, cattle;n.m.;;CIS_Lesson_6_Readings;
93;तथा;;tathā-;;such a;indc.;;CIS_Lesson_6_Readings;
94;दान-;;dāna-;;gift;n.n.;;CIS_Lesson_6_Readings;
95;प्रदान-;;pradāna-;;gift;n.n.;;CIS_Lesson_6_Readings;
96;प्रधान-;;pradhāna-;;important thing, essence;n.n.;;CIS_Lesson_6_Readings;
97;महा-;;mahā-;;great;adj.;;CIS_Lesson_6_Readings;
98;मही-;;mahī-;;earth, land;n.f.;;CIS_Lesson_6_Readings;
99;यथा-;;yathā;;as;indc.;;CIS_Lesson_6_Readings;
100;√जि;जयति;ji;jayati;to win, conquer;v.;I;CIS_Lesson_7;
101;√नी;नयति;nī;nayati;to lead;v.;I;CIS_Lesson_7;
102;√द्रु;द्रवति;dru;dravati;to run;v.;I;CIS_Lesson_7;
103;√भू;भवति;bhū;bhavati;"to be; to become, come to be";v.;I;CIS_Lesson_7;
104;√गम्;गच्छति;gam;gacchati;to go;v.;I irr.;CIS_Lesson_7;
105;√नम्;नमति;nam;namati;"to bow (to: + <i>dat.</i> or <i>acc.</i>); to bend";v.;I;CIS_Lesson_7;
106;√स्वप्;स्वपति;svap;svapati;to sleep;v.;I;CIS_Lesson_7;
107;√त्यज्;त्यजति;tyaj;tyajati;to leave behind, abandon;v.;I;CIS_Lesson_7;
108;√पत्;पतति;pat;patati;"to fall; to fly";v.;I;CIS_Lesson_7;
109;√यज्;यजति;yaj;yajati;to worship, sacrifice to;v.;I;CIS_Lesson_7;
110;√रक्ष्;रक्षति;rakṣ;rakṣati;to protect;v.;I;CIS_Lesson_7;
111;√शुच्;शोचति;śuc;śocati;to mourn, lament;v.;I;CIS_Lesson_7;
112;√वृध्;वर्धति;vṛdh;vardhati;to grow;v.;I;CIS_Lesson_7;
113;√स्था;तिष्ठति;sthā;tiṣṭhati;to stand;v.;I irr.;CIS_Lesson_7;
114;√इष्;इच्छति;iṣ;icchati;to want, wish;v.;VI irr.;CIS_Lesson_7;
115;√पूज्;पूजयति;pūj;pūjayati;to honour, respect, worship;v.;X;CIS_Lesson_7;
116;√कथ्;कथयति;kath;kathayati;to tell, talk about;v.;X;CIS_Lesson_7;
117;√चिन्त्;चिन्तयति;cint;cintayati;"to think; to worry about";v.;X;CIS_Lesson_7;
118;√चुर्;चोरयति;cur;corayati;to steal;v.;X;CIS_Lesson_7;
119;क्व;;kva;;where?;indc.;;CIS_Lesson_7;
120;कथम्;;katham;;how?;indc.;;CIS_Lesson_7;
121;अद्य;;adya;;today;indc.;;CIS_Lesson_7;
122;वा… वा;;vā… vā;;either… or (postposed);indc.;;CIS_Lesson_7;
123;अवश्यम्;;avaśyam;;necessarily;indc.;;CIS_Lesson_7_Readings;
124;आचार-;;ācāra-;;conduct, manner;n.m.;;CIS_Lesson_7_Readings;
125;आमलकी-;;āmalakī-;;Āmalakī (proverbially beautiful tree);n.f.;;CIS_Lesson_7_Readings;
126;केतक-;;ketaka-;;Ketaka (fragrant bu otherwise unremarkable tree);n.m.;;CIS_Lesson_7_Readings;
127;अत्र-;;atra-;;food;n.n.;;CIS_Lesson_7_Readings;
128;पर्जन्य-;;parjanya-;;rain;n.m.;;CIS_Lesson_7_Readings;
129;यज्ञ-;;yajña-;;"sacrifice, ritual; worship";n.m.;;CIS_Lesson_7_Readings;
130;संभव-;;saṃbhava-;;origin, source;n.m.;;CIS_Lesson_7_Readings;
131;√दह्;दहति;;;to burn;v.;I;CIS_Lesson_8;
132;√जीव्;जीवति;;;to live, be alive;v.;I;CIS_Lesson_8;
133;√वस्;वसति;;;to live (in a place);v.;I;CIS_Lesson_8;
134;√वद्;वदति;;;to say, speak to (+ <i>acc.</i>);v.;I;CIS_Lesson_8;
135;√सद्;सीदति;;;to sit, sit down;v.;I irr.;CIS_Lesson_8;
136;√अर्ह्;अर्हति;;;"to be required to; to be able to; one should, ought (+ <i>inf.</i>)";v.;I;CIS_Lesson_8;
137;√प्रछ्;पृच्छति;;;to ask (<i>ta-ptc</i> पृष्ट-);v.;VI;CIS_Lesson_8;
138;√नश्;नशयति;;;to perish, be destroyed;v.;IV;CIS_Lesson_8;
139;√तुष्;तुष्यति;;;to enjoy, be pleased with (+ <i>inst.</i> or other cases);v.;IV;CIS_Lesson_8;
140;√पाल्;पालयति;;;to protect;v.;X;CIS_Lesson_8;
141;√धृ;धारयति;;;to hold, support;v.;X;CIS_Lesson_8;
142;कुमार-;;;;"young man; prince";n.m.;;CIS_Lesson_8;
143;राम-;;;;Rāma, hero of the <i>Rāmāyaṇa</i> epic;n.m.;;CIS_Lesson_8;
144;पाल-;;;;protector;n.m.;;CIS_Lesson_8;
145;कुल-;;;;family;n.n.;;CIS_Lesson_8;
146;अहम्;;;;I (<i>Nom. Sing.</i>);pron.;;CIS_Lesson_8;
147;तव;;;;of you, your (<i>Gen. Sing.</i>);pron.;;CIS_Lesson_8;
148;मे;;;;"of me, my; for/to/by me (<i>Gen./Dat. Sing.</i>)";pron.;;CIS_Lesson_8;
149;उभ-;;;;both (exists only in dual);adj.;;CIS_Lesson_8;
150;अर्ह-;;;;"proper, appropriate for (+ <i>gen.</i>); required, onliged to (+ <i>inf.</i>)";adj.;;CIS_Lesson_8;
151;स्थित-;;;;standing (<i>from </i>√स्था) ;ta-ptc.;;CIS_Lesson_8;
152;गत-;;;;having gone (<i>from </i>√गम्) ;ta-ptc.;;CIS_Lesson_8;
153;हत-;;;;"having been killed; dead (<i>from </i>√हन्) ";ta-ptc.;;CIS_Lesson_8;
154;मृत-;;;;"having died; dead (<i>from </i>√मृ) ";ta-ptc.;;CIS_Lesson_8;
155;कृत-;;;;having been done, made (<i>from </i>√कृ) ;ta-ptc.;;CIS_Lesson_8;
156;श्रुत-;;śruta-;;having been heard (<i>from </i>√श्रु) ;ta-ptc.;;CIS_Lesson_8;
157;उक्त-;;;;having been said/spoken to/addressed (<i>from </i>√वच्) ;ta-ptc.;;CIS_Lesson_8;
158;उक्त्वा-;;;;having said (<i>from </i>√वच्) ;abs.;;CIS_Lesson_8;
159;अर्जुन-;;;;Arjuna (the warrior protagonist of the <i>Gitā</i>);n.m.;;CIS_Lesson_8_Readings;
160;जन्मन्;(जन्मानि <i>nom. pl.</i>);;;birth;n.n.;;CIS_Lesson_8_Readings;
161;त-;;;;"he, she, it; (<i>pl.</i>) they";pron.;;CIS_Lesson_8_Readings;
162;त्वम्;;;;you (<i>nom./voc. sing.</i>);pron.;;CIS_Lesson_8_Readings;
163;परं-तप-;;;;enemy-burner, destroyer of the enemy;n.m.;;CIS_Lesson_8_Readings;
164;बहु-;(बहूनि <i>nom. pl. neut.</i>);;;many;adj.;;CIS_Lesson_8_Readings;
165;व्यतीत-;;;;past;adj.;;CIS_Lesson_8_Readings;
166;अ-;;;;not, non-, un-;prefix;;CIS_Lesson_8_Readings;
167;√ज्ञा;जानाति;;;to recognise someone (<i>acc.</i>) as sth. (<i>acc.</i>);v.;IX;CIS_Lesson_8_Readings;
168;नरेन्द्र-;;narendra-;;leader, king (lit. a man-Indra);n.m.;;CIS_Lesson_8_Readings;
169;प्रज्ञा-विहीन-;;;;without wisdom, foolish;adj.;;CIS_Lesson_8_Readings;
170;प्राज्ञ-;;;;wise;adj.;;CIS_Lesson_8_Readings;
171;लेख-;;;;letter, correspondance;n.m.;;CIS_Lesson_8_Readings;
172;एत-;;;;this;pron.;;CIS_Lesson_8_Readings;
173;सुदुर्लभ-;;;;very difficult to reach;adj.;;CIS_Lesson_8_Readings;
174;स्वर्ग-;;;;heaven;n.m.;;CIS_Lesson_8_Readings;
175;शत्रु-;(शत्रून् <i>acc. pl.</i>);;;enemy;n.m.;;CIS_Lesson_8_Readings;
176;आशा-;;;;"hope; desire, wish";n.f.;ā-stem;CIS_Lesson_9;
177;कथा-;;;;story;n.f.;ā-stem;CIS_Lesson_9;
178;कन्य-;;;;"girl; daughter";n.f.;ā-stem;CIS_Lesson_9;
179;चिन्ता-;;;;care, worry;n.f.;ā-stem;CIS_Lesson_9;
180;छाया-;;;;shadow;n.f.;ā-stem;CIS_Lesson_9;
181;माया-;;;;"magic, miracle; illusion";n.f.;ā-stem;CIS_Lesson_9;
182;जरा-;;;;old age;n.f.;ā-stem;CIS_Lesson_9;
183;सेना-;;;;army;n.f.;ā-stem;CIS_Lesson_9;
184;पूजा-;;;;"honour; respect";n.f.;ā-stem;CIS_Lesson_9;
185;पृतना-;;;;battle;n.f.;ā-stem;CIS_Lesson_9;
186;बाला-;;;;"girl; daughter";n.f.;ā-stem;CIS_Lesson_9;
187;प्रभा-;;;;"splendour; radiance; beauty";n.f.;ā-stem;CIS_Lesson_9;
188;प्रजा-;;;;"child, offspring; (a ruler's) subject";n.f.;ā-stem;CIS_Lesson_9;
189;प्रज्ञा-;;;;knowledge, wisdom;n.f.;ā-stem;CIS_Lesson_9;
190;भीर्या-;;;;wife;n.f.;ā-stem;CIS_Lesson_9;
191;सीता-;;;;Sītā, Rāma's wife;n.f.;ā-stem;CIS_Lesson_9;
192;उग्र-;;;;fierce, terrible;adj.;;CIS_Lesson_9;
